room_id,date,quest_key,desc,reward,emoji
520,2025-12-08,quest_compliment,給對方一個真誠的讚美,25,💝
520,2025-12-08,quest_date,一起計畫下一次約會,50,💑
520,2025-12-08,quest_surprise,給對方一個小驚喜,40,🎁
520,2025-12-08,quest_call,通話或視訊至少 10 分鐘,35,📞
520,2025-12-08,quest_photo,拍一張今天的合照或自拍,30,📸
520,2025-12-08,quest_date,一起計畫下一次約會,50,💑
520,2025-12-08,quest_compliment,給對方一個真誠的讚美,25,💝
520,2025-12-08,quest_photo,拍一張今天的合照或自拍,30,📸
520,2025-12-08,quest_surprise,給對方一個小驚喜,40,🎁
520,2025-12-08,quest_date,一起計畫下一次約會,50,💑
520,2025-12-08,quest_photo,拍一張今天的合照或自拍,30,📸
520,2025-12-08,quest_compliment,給對方一個真誠的讚美,25,💝
520,2025-12-08,quest_surprise,給對方一個小驚喜,40,🎁
520,2025-12-08,quest_call,通話或視訊至少 10 分鐘,35,📞
520,2025-12-08,quest_date,一起計畫下一次約會,50,💑
520,2025-12-08,quest_compliment,給對方一個真誠的讚美,25,💝
520,2025-12-08,quest_date,一起計畫下一次約會,50,💑
520,2025-12-08,quest_photo,拍一張今天的合照或自拍,30,📸
520,2025-12-08,quest_photo,拍一張今天的合照或自拍,30,📸
520,2025-12-08,quest_compliment,給對方一個真誠的讚美,25,💝
520,2025-12-08,quest_call,通話或視訊至少 10 分鐘,35,📞
520,2025-12-08,quest_photo,拍一張今天的合照或自拍,30,📸
520,2025-12-08,quest_call,通話或視訊至少 10 分鐘,35,📞
520,2025-12-08,quest_compliment,給對方一個真誠的讚美,25,💝
520,2025-12-08,quest_photo,拍一張今天的合照或自拍,30,📸
520,2025-12-08,quest_surprise,給對方一個小驚喜,40,🎁
520,2025-12-08,quest_call,通話或視訊至少 10 分鐘,35,📞
520,2025-12-08,quest_date,一起計畫下一次約會,50,💑
520,2025-12-08,quest_call,通話或視訊至少 10 分鐘,35,📞
520,2025-12-08,quest_photo,拍一張今天的合照或自拍,30,📸
520,2025-12-08,quest_date,一起計畫下一次約會,50,💑
520,2025-12-08,quest_call,通話或視訊至少 10 分鐘,35,📞
520,2025-12-08,quest_photo,拍一張今天的合照或自拍,30,📸
520,2025-12-08,quest_date,一起計畫下一次約會,50,💑
520,2025-12-08,quest_call,通話或視訊至少 10 分鐘,35,📞
520,2025-12-08,quest_compliment,給對方一個真誠的讚美,25,💝
520,2025-12-08,quest_call,通話或視訊至少 10 分鐘,35,📞
520,2025-12-08,quest_date,一起計畫下一次約會,50,💑
520,2025-12-08,quest_compliment,給對方一個真誠的讚美,25,💝
520,2025-12-08,quest_compliment,給對方一個真誠的讚美,25,💝
520,2025-12-08,quest_call,通話或視訊至少 10 分鐘,35,📞
520,2025-12-08,quest_surprise,給對方一個小驚喜,40,🎁
520,2025-12-08,quest_surprise,給對方一個小驚喜,40,🎁
520,2025-12-08,quest_date,一起計畫下一次約會,50,💑
520,2025-12-08,quest_photo,拍一張今天的合照或自拍,30,📸
520,2025-12-08,quest_date,一起計畫下一次約會,50,💑
520,2025-12-08,quest_surprise,給對方一個小驚喜,40,🎁
520,2025-12-08,quest_compliment,給對方一個真誠的讚美,25,💝
520,2025-12-08,quest_compliment,給對方一個真誠的讚美,25,💝
520,2025-12-08,quest_date,一起計畫下一次約會,50,💑
520,2025-12-08,quest_surprise,給對方一個小驚喜,40,🎁
520,2025-12-08,quest_compliment,給對方一個真誠的讚美,25,💝
520,2025-12-08,quest_date,一起計畫下一次約會,50,💑
520,2025-12-08,quest_call,通話或視訊至少 10 分鐘,35,📞
520,2025-12-08,quest_photo,拍一張今天的合照或自拍,30,📸
520,2025-12-08,quest_compliment,給對方一個真誠的讚美,25,💝
520,2025-12-08,quest_call,通話或視訊至少 10 分鐘,35,📞
520,2025-12-08,quest_date,一起計畫下一次約會,50,💑
520,2025-12-08,quest_photo,拍一張今天的合照或自拍,30,📸
520,2025-12-08,quest_compliment,給對方一個真誠的讚美,25,💝
520,2025-12-08,quest_surprise,給對方一個小驚喜,40,🎁
520,2025-12-08,quest_date,一起計畫下一次約會,50,💑
520,2025-12-08,quest_compliment,給對方一個真誠的讚美,25,💝
520,2025-12-08,quest_compliment,給對方一個真誠的讚美,25,💝
520,2025-12-08,quest_photo,拍一張今天的合照或自拍,30,📸
520,2025-12-08,quest_date,一起計畫下一次約會,50,💑
